state_name,moderate_under_15k_2001,moderate_under_15k_2019,moderate_under_15k_2024,moderate_15k_29k_2001,moderate_15k_29k_2019,moderate_15k_29k_2024,moderate_30k_44k_2001,moderate_30k_44k_2019,moderate_30k_44k_2024,moderate_45k_74k_2001,moderate_45k_74k_2019,moderate_45k_74k_2024,moderate_75k_plus_2001,moderate_75k_plus_2019,moderate_75k_plus_2024,moderate_all_renters_2001,moderate_all_renters_2019,moderate_all_renters_2024,severe_under_15k_2001,severe_under_15k_2019,severe_under_15k_2024,severe_15k_29k_2001,severe_15k_29k_2019,severe_15k_29k_2024,severe_30k_44k_2001,severe_30k_44k_2019,severe_30k_44k_2024,severe_45k_74k_2001,severe_45k_74k_2019,severe_45k_74k_2024,severe_75k_plus_2001,severe_75k_plus_2019,severe_75k_plus_2024,severe_all_renters_2001,severe_all_renters_2019,severe_all_renters_2024
New Jersey,7.1,9.6,11.0,17.1,18.1,17.4,49.1,37.7,33.0,35.6,47.4,51.8,4.5,9.9,15.0,19.2,21.8,24.7,77.5,72.7,75.8,58.8,65.6,63.1,28.0,46.1,51.4,3.3,9.7,15.3,0.3,0.7,1.4,20.5,25.5,26.3
New Mexico,11.7,9.4,8.2,40.5,42.0,31.2,38.2,46.1,43.3,14.1,23.8,25.6,5.2,1.1,4.2,21.4,22.0,19.9,68.6,68.1,70.5,27.3,33.5,49.0,4.6,12.2,21.0,1.6,1.4,3.5,0.0,0.0,0.6,19.0,21.1,25.6
New York,9.4,11.9,9.3,27.5,23.7,19.9,47.5,36.1,34.7,24.8,39.1,37.6,6.0,13.2,13.7,19.7,21.9,20.7,78.4,75.6,79.0,52.2,57.6,59.8,17.1,37.7,38.5,4.8,13.0,15.1,0.7,1.2,2.2,23.2,26.9,29.0
North Carolina,8.3,10.9,8.1,32.7,35.3,26.5,38.4,50.5,43.2,15.3,23.7,39.4,1.8,2.6,6.1,17.5,22.6,23.5,69.5,74.6,78.3,39.8,41.7,53.1,7.5,12.5,25.0,1.4,2.1,4.3,0.2,0.5,1.3,19.5,21.7,25.3
North Dakota,10.2,9.1,7.5,41.7,51.5,30.9,21.6,45.2,34.6,3.1,15.9,18.4,0.0,2.2,2.1,15.6,22.9,15.5,58.7,77.3,77.9,19.4,29.0,34.9,2.3,5.2,3.9,0.0,0.7,1.6,0.0,0.0,0.1,15.2,15.2,18.2
Ohio,10.5,9.5,7.9,32.8,39.8,34.9,39.5,41.7,44.3,11.1,13.2,21.6,1.1,2.2,4.1,17.5,19.8,20.7,70.2,71.1,76.9,40.4,38.2,44.8,7.4,8.3,14.2,0.9,1.0,2.6,0.1,0.2,1.3,19.9,21.3,24.7
Oklahoma,9.2,8.8,7.5,46.6,39.6,39.2,38.1,44.9,47.4,9.7,16.0,20.0,2.3,0.8,3.9,21.9,20.5,21.9,69.2,70.6,75.9,28.7,35.2,34.7,3.7,7.5,9.2,0.6,0.6,2.1,0.3,0.0,0.6,18.6,20.0,21.5
Oregon,10.5,6.0,5.4,27.3,22.9,18.7,49.6,46.7,45.0,20.8,40.1,47.7,2.6,7.8,10.7,20.9,22.6,23.8,77.0,78.2,82.4,52.0,60.2,66.3,17.6,26.8,32.7,2.3,5.8,8.2,0.2,0.4,1.1,24.1,24.1,26.9
Pennsylvania,11.5,10.5,8.7,34.2,29.4,27.0,40.5,47.4,41.0,14.4,24.6,31.1,2.9,4.1,6.1,19.3,20.9,20.9,67.9,73.2,76.5,34.2,48.5,50.5,9.5,16.3,23.4,1.9,4.0,4.5,0.2,0.5,1.2,19.9,24.1,25.6
Rhode Island,11.2,12.7,17.0,19.2,23.1,16.3,46.6,58.6,33.4,20.5,35.7,40.1,2.8,4.2,10.5,18.0,23.7,22.0,66.0,55.3,58.2,47.0,54.3,48.2,10.6,14.5,39.8,1.6,2.3,10.9,0.0,0.1,0.4,21.8,21.6,25.9
South Carolina,10.1,9.6,9.1,36.2,31.1,24.0,44.8,46.7,46.2,8.5,22.9,35.5,1.6,3.4,6.1,18.2,21.0,22.6,67.0,69.3,72.4,33.9,45.4,52.2,4.0,11.6,21.3,2.7,2.3,5.7,0.0,0.2,1.4,19.1,22.9,26.1
South Dakota,11.5,7.9,12.5,34.3,43.8,44.7,25.9,40.4,37.9,6.3,17.0,19.4,0.5,1.4,3.9,15.6,22.5,22.5,59.2,70.9,61.5,24.4,30.1,26.4,4.1,5.6,10.0,0.3,0.9,2.8,0.0,0.0,0.0,16.2,17.2,15.8
Tennessee,15.6,8.8,9.6,30.9,31.0,28.9,40.9,47.3,43.6,10.5,21.6,37.0,0.7,3.8,6.9,19.0,21.0,23.7,64.8,72.0,71.4,38.4,43.4,48.0,5.5,11.7,22.3,1.8,2.0,4.4,0.4,0.2,0.4,20.5,21.5,23.0
Texas,9.9,7.3,6.0,37.3,28.1,23.1,47.7,54.5,49.4,17.8,33.7,43.2,2.2,5.5,8.3,20.2,23.4,24.7,74.0,78.5,81.6,41.6,56.7,63.9,8.8,20.3,30.7,2.1,3.6,5.7,0.1,0.3,0.9,18.5,22.7,25.8
Utah,6.2,7.5,2.1,37.8,28.6,18.8,49.6,47.3,44.1,19.7,30.5,46.8,1.3,5.6,10.6,20.7,21.4,24.6,80.9,76.4,86.4,36.9,61.9,67.4,6.8,26.6,36.2,2.0,3.4,6.9,0.0,0.1,1.1,17.0,21.1,21.9
Vermont,11.6,5.7,0.4,36.0,38.2,25.9,46.8,41.5,46.9,20.1,38.9,31.1,1.4,0.5,8.0,21.9,25.3,20.4,63.5,77.2,87.3,31.3,40.8,42.6,11.9,22.9,19.5,0.4,1.9,3.8,0.3,0.3,0.0,16.9,23.7,20.7
Virginia,12.5,7.6,5.8,34.1,27.2,18.9,41.0,42.1,38.5,25.3,38.4,46.2,7.0,9.7,11.7,21.4,22.1,23.0,67.4,74.6,78.6,41.7,51.9,60.0,17.0,28.8,35.3,2.5,7.8,9.2,0.5,0.5,1.4,17.1,21.5,24.2
Washington,6.9,8.9,7.3,30.7,22.9,14.0,49.5,43.7,37.1,25.5,43.4,53.0,4.1,10.4,14.5,21.1,23.1,24.4,77.8,69.8,79.6,50.7,59.4,69.4,15.8,34.4,44.7,1.7,10.0,11.8,0.7,0.6,1.2,21.1,21.4,24.4
West Virginia,12.6,8.5,10.6,36.2,32.9,36.2,22.7,36.8,37.0,4.1,7.1,10.9,0.1,1.5,1.4,16.0,16.9,18.7,61.0,61.2,65.4,20.3,29.4,28.7,0.8,4.6,4.9,1.9,0.3,1.3,0.0,0.0,0.6,21.4,22.7,22.4
Wisconsin,8.6,12.5,8.7,35.2,36.9,34.1,46.6,48.1,50.7,11.6,15.4,23.8,1.1,1.7,3.6,18.9,20.5,21.9,76.9,71.8,76.6,35.1,45.1,48.5,5.9,7.5,12.5,0.7,1.2,2.5,0.0,0.1,1.7,16.0,19.2,21.2
Wyoming,11.1,10.6,12.2,48.9,51.1,42.6,21.8,38.7,34.0,8.7,18.1,22.3,2.0,6.4,4.7,17.7,22.8,22.4,61.8,75.6,69.7,19.1,27.5,35.8,1.2,7.8,9.3,0.2,3.6,1.8,0.3,0.0,1.1,13.7,20.0,19.7
